Название продукта;Картинка;Описание;Цена
Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB черный;https://www.kivano.kg/images/product/92416/1635945551_75038600.jpg;"Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB черный        экран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...            ";22960 сом
Сотовый телефон Xiaomi Mi 11 8/128GB белый;https://www.kivano.kg/images/product/103426/1644986557_91258000.jpg;"Сотовый телефон Xiaomi Mi 11 8/128GB белый        экран: 6.81"" (3200x1440) 120 Гц, оперативная память: 8 ГБ, память: 128 ГБ, 3 камеры: 108 МП, 13 МП, 5 МП, аккумулятор: 4600 мА·ч, процессор: Qualcomm Snapdragon 888, SIM-карты: 2 (nano...            ";54950 сом
Сотовый телефон Xiaomi Mi 11 8/128GB голубой;https://www.kivano.kg/images/product/103427/1644986638_02806300.png;"Сотовый телефон Xiaomi Mi 11 8/128GB голубой        экран: 6.81"" (3200x1440) 120 Гц, оперативная память: 8 ГБ, память: 128 ГБ, 3 камеры: 108 МП, 13 МП, 5 МП, аккумулятор: 4600 мА·ч, процессор: Qualcomm Snapdragon 888, SIM-карты: 2 (nano...            ";54950 сом
Сотовый телефон Xiaomi Black Shark 4 8/128GB серый;https://www.kivano.kg/images/product/103429/1644989557_05184500.jpg;"Сотовый телефон Xiaomi Black Shark 4 8/128GB серый        Операционная система Android 11; экран 6.67"" AMOLED 2400х1080 ~144 Гц; процессор Snapdragon 870 x8 core; память 8/128 GB; основная камера 48 mpx (F/1.8); фронтальная камера 20 mpx (F/2.0); аккумулятор 4500...            ";36640 сом
Сотовый телефон Nokia 5310 (2020) Dual Sim черный;https://www.kivano.kg/images/product/85254/1603132115_66857000.jpg;"Сотовый телефон Nokia 5310 (2020) Dual Sim черный        поддержка двух SIM-карт, экран 2.4"", камера: 0.30 МП, память 16 МБ, слот для карты памяти, Bluetooth, аккумулятор 1200 мА⋅ч, вес 88 г, ШxВxТ 52.40x123.70x13.10 мм, радио            ";4310 сом
Сотовый телефон Xiaomi Redmi 10A 3/64GB серый;https://www.kivano.kg/images/product/107526/1655262496_92690500.jpg;"Сотовый телефон Xiaomi Redmi 10A 3/64GB серый        Операционная система Android 11; экран 6.5"" IPS 1600х720 ~60 Гц; процессор MediaTek Helio G25 2000Mhz, x8 core; память 3/64 GB; основная камера 13 mpx (F/2.2); фронтальная камера 5 mpx (F/2.2);...            ";11090 сом
Сотовый телефон Nokia 5310 (2020) Dual Sim белый;https://www.kivano.kg/images/product/85255/1603132141_84330700.jpg;"Сотовый телефон Nokia 5310 (2020) Dual Sim белый        поддержка двух SIM-карт, экран 2.4"", камера: 0.30 МП, память 16 МБ, слот для карты памяти, Bluetooth, аккумулятор 1200 мА⋅ч, вес 88 г, ШxВxТ 52.40x123.70x13.10 мм, радио            ";4310 сом
Сотовый телефон Philips Xenium E109 черный;https://www.kivano.kg/images/product/69896/69896.jpg;"Сотовый телефон Philips Xenium E109 черный        поддержка двух SIM-карт, экран 1.77"", разрешение 160x128, без камеры, память 32 Мб, слот для карты памяти, объем оперативной памяти 32 Мб, аккумулятор 1000 мА⋅ч, вес 76 г, ШxВxТ 46.60x108.60x17.20 мм,...            ";1980 сом
Сотовый телефон Nokia 210 черный;https://www.kivano.kg/images/product/69898/69898.jpg;"Сотовый телефон Nokia 210 черный        поддержка двух SIM-карт, экран 2.4"", камера 0.30 МП, память 16 Мб, слот для карты памяти, аккумулятор 1020 мА⋅ч, ШxВxТ 53.49x120.80x13.81 мм, MP3-плеер, радио            ";3880 сом
Сотовый телефон Xiaomi Redmi Note 11 6/128GB синий ;https://www.kivano.kg/images/product/103434/1645002019_77390500.png;"Сотовый телефон Xiaomi Redmi Note 11 6/128GB синий         Операционная система Android 11; экран 6.4"" AMOLED 2400х1080 ~90 Гц; процессор Snapdragon 680 x8 core; память 6/128 GB; основная камера 50 mpx (F/1.8); фронтальная камера 13 mpx (F/2.4); аккумулятор 5000...            ";16250 сом
Сотовый телефон Apple iPhone 13 128GB зеленый;https://www.kivano.kg/images/product/105482/1650357323_84906500.png;"Сотовый телефон Apple iPhone 13 128GB зеленый        Операционная система Apple iOS 15; экран 6.1"" OLED 2532x1170 ~60 Гц; процессор Apple A15 Bionic x6 core; память 4/128 GB; основная камера 12 mpx (F/1.6); фронтальная камера 12 mpx (F/2.2);...            ";71120 сом
Сотовый телефон Xiaomi 12X 8/128GB голубой;https://www.kivano.kg/images/product/107274/1654619545_31822900.jpg;"Сотовый телефон Xiaomi 12X 8/128GB голубой        Операционная система Android 12; экран 6.2"" OLED 2400х1080 ~120 Гц; процессор Snapdragon 870 x8 core; память 8/128 GB; основная камера 50 mpx (F/1.9); фронтальная камера 32 mpx; аккумулятор 4500 mAh;...            ";41970 сом
Сотовый телефон Xiaomi Redmi 9C 4/64GB фиолетовый;https://www.kivano.kg/images/product/108298/1656851348_28129800.jpg;"Сотовый телефон Xiaomi Redmi 9C 4/64GB фиолетовый        Операционная система Android 10; экран 6.5"" IPS 1600х720 ~60 Гц; процессор Mediatek Helio G35 x8 core; память 4/64 GB; основная камера 13 mpx (F/2.2); фронтальная камера 5 mpx (F/2.2); аккумулятор...            ";10490 сом
Сотовый телефон BQ BQ-2428 Tank;https://www.kivano.kg/images/product/69899/69899.jpg;"Сотовый телефон BQ BQ-2428 Tank        поддержка двух SIM-карт, экран 2.4"", разрешение 320x240, камера, память 30.72 Мб, слот для карты памяти, Bluetooth, объем оперативной памяти 32 Мб, аккумулятор 1000 мА⋅ч, вес 91 г, ШxВxТ 53x125.50x14.20 мм,...            ";3610 сом
Сотовый телефон Xiaomi Redmi 9C 4/128GB серый;https://www.kivano.kg/images/product/95755/1627654600_03946800.jpg;"Сотовый телефон Xiaomi Redmi 9C 4/128GB серый        Android 10, поддержка двух SIM-карт, экран 6.53"", разрешение 1600x720, 3 камеры: 13 МП, макро, датчик глубины, процессор MediaTek Helio G35, память 128 ГБ, слот для карты памяти, 3G, 4G LTE,...            ";11520 сом
Сотовый телефон Xiaomi Redmi Note 11 6/128GB голубой;https://www.kivano.kg/images/product/103435/1645002057_84343700.jpg;"Сотовый телефон Xiaomi Redmi Note 11 6/128GB голубой        Операционная система Android 11; экран 6.4"" AMOLED 2400х1080 ~90 Гц; процессор Snapdragon 680 x8 core; память 6/128 GB; основная камера 50 mpx (F/1.8); фронтальная камера 13 mpx (F/2.4); аккумулятор 5000...            ";16250 сом
Сотовый телефон Xiaomi 12 8/256GB голубой;https://www.kivano.kg/images/product/105227/1649418971_59438400.jpg;"Сотовый телефон Xiaomi 12 8/256GB голубой        Операционная система Android 12; экран 6.2"" AMOLED 2400х1080 ~120 Гц; процессор Snapdragon 8 x8 core; память 8/256 GB; основная камера 50 mpx (F/1.9); фронтальная камера 32 mpx (F/2.5); аккумулятор 4500...            ";53660 сом
Сотовый телефон Apple iPhone 13 256GB зеленый;https://www.kivano.kg/images/product/105483/1650357352_25448500.png;"Сотовый телефон Apple iPhone 13 256GB зеленый        Операционная система Apple iOS 15; экран 6.1"" OLED 2532x1170 ~60 Гц; процессор Apple A15 Bionic x6 core; память 4/256 GB; основная камера 12 mpx (F/1.6); фронтальная камера 12 mpx (F/2.2);...            ";79460 сом
Сотовый телефон Xiaomi Redmi 10A 4/64GB черный;https://www.kivano.kg/images/product/107275/1654620766_36875100.jpg;"Сотовый телефон Xiaomi Redmi 10A 4/64GB черный        Операционная система Android 11; экран 6.5"" IPS 1600х720 ~60 Гц; процессор MediaTek Helio G25 2000Mhz, x8 core; память 4/64 GB; основная камера 13 mpx (F/2.2); фронтальная камера 5 mpx (F/2.2);...            ";11270 сом
Сотовый телефон Xiaomi Redmi 10A 2/32GB черный;https://www.kivano.kg/images/product/108299/1656851875_65254900.jpg;"Сотовый телефон Xiaomi Redmi 10A 2/32GB черный        Операционная система Android 11; экран 6.5"" IPS 1600х720 ~60 Гц; процессор MediaTek Helio G25 2000Mhz, x8 core; память 2/32 GB; основная камера 13 mpx (F/2.2); фронтальная камера 5 mpx (F/2.2);...            ";10410 сом
